iter	Passed	Remaining
0	160	160195
1	161	80469
2	162	53855
3	162	40533
4	163	32596
5	164	27262
6	165	23443
7	165	20582
8	166	18356
9	167	16572
10	168	15123
11	169	13915
12	169	12877
13	170	11995
14	171	11248
15	171	10576
16	172	9998
17	173	9468
18	174	9000
19	175	8577
20	175	8195
21	176	7842
22	177	7519
23	177	7227
24	178	6959
25	179	6708
26	179	6475
27	180	6256
28	180	6057
29	181	5872
30	182	5694
31	182	5529
32	183	5377
33	184	5232
34	184	5095
35	185	4967
36	186	4845
37	186	4729
38	187	4618
39	188	4515
40	188	4415
41	189	4319
42	189	4227
43	190	4143
44	191	4061
45	192	3983
46	192	3906
47	193	3834
48	193	3764
49	194	3697
50	195	3632
51	195	3570
52	196	3511
53	197	3454
54	197	3398
55	198	3344
56	199	3292
57	199	3244
58	200	3195
59	201	3149
60	201	3103
61	202	3058
62	202	3015
63	203	2974
64	204	2935
65	204	2897
66	205	2861
67	205	2821
68	206	2785
69	207	2751
70	207	2717
71	208	2684
72	208	2651
73	209	2619
74	209	2589
75	210	2560
76	211	2533
77	211	2504
78	212	2477
79	213	2450
80	213	2425
81	214	2399
82	214	2374
83	215	2350
84	216	2326
85	216	2303
86	217	2279
87	217	2258
88	218	2237
89	219	2215
90	219	2196
91	220	2175
92	221	2157
93	222	2140
94	222	2122
95	223	2106
96	224	2089
97	225	2071
98	225	2054
99	226	2037
100	227	2020
101	227	2001
102	227	1984
103	228	1969
104	229	1954
105	229	1939
106	230	1924
107	231	1910
108	231	1895
109	232	1881
110	233	1866
111	233	1852
112	234	1838
113	234	1824
114	235	1811
115	235	1798
116	236	1785
117	237	1773
118	237	1760
119	238	1747
120	238	1734
121	239	1722
122	239	1710
123	240	1699
124	241	1688
125	241	1677
126	242	1669
127	243	1657
128	243	1646
129	244	1635
130	245	1625
131	245	1615
132	246	1605
133	247	1596
134	247	1586
135	248	1576
136	248	1568
137	249	1557
138	250	1548
139	250	1539
140	251	1530
141	251	1522
142	252	1513
143	253	1505
144	253	1497
145	254	1488
146	255	1480
147	255	1472
148	256	1463
149	256	1455
150	257	1448
151	258	1440
152	258	1433
153	259	1427
154	260	1420
155	261	1412
156	261	1405
157	262	1397
158	262	1390
159	263	1383
160	264	1375
161	264	1368
162	265	1361
163	265	1355
164	266	1349
165	267	1343
166	267	1336
167	268	1329
168	269	1323
169	269	1316
170	270	1310
171	270	1304
172	271	1297
173	272	1291
174	272	1286
175	273	1280
176	274	1274
177	274	1268
178	275	1262
179	275	1256
180	276	1249
181	276	1243
182	277	1238
183	278	1233
184	278	1227
185	279	1222
186	279	1216
187	280	1211
188	281	1206
189	281	1200
190	282	1195
191	282	1190
192	283	1185
193	284	1180
194	284	1176
195	285	1171
196	286	1166
197	286	1161
198	287	1156
199	288	1152
200	288	1147
201	289	1142
202	289	1137
203	290	1133
204	291	1129
205	291	1124
206	292	1120
207	292	1115
208	293	1111
209	294	1106
210	294	1101
211	295	1097
212	295	1093
213	296	1089
214	297	1084
215	297	1080
216	298	1076
217	298	1072
218	299	1067
219	299	1063
220	300	1059
221	301	1055
222	301	1052
223	302	1047
224	303	1044
225	303	1040
226	304	1036
227	305	1032
228	305	1028
229	306	1024
230	306	1020
231	307	1017
232	307	1013
233	308	1009
234	309	1007
235	310	1003
236	310	1000
237	311	997
238	312	993
239	312	990
240	313	986
241	313	982
242	314	979
243	314	975
244	315	972
245	316	969
246	317	966
247	317	963
248	318	960
249	318	956
250	319	953
251	320	950
252	320	947
253	321	944
254	322	942
255	322	938
256	323	935
257	324	932
258	324	929
259	325	926
260	326	924
261	327	921
262	327	918
263	328	915
264	329	913
265	330	910
266	330	907
267	331	904
268	331	901
269	332	899
270	333	896
271	333	893
272	335	892
273	336	890
274	336	887
275	337	885
276	338	882
277	338	879
278	339	876
279	339	874
280	340	871
281	341	868
282	341	865
283	342	863
284	343	860
285	343	858
286	344	855
287	345	853
288	345	850
289	346	849
290	347	847
291	348	844
292	349	842
293	349	839
294	350	837
295	350	834
296	351	832
297	352	829
298	352	827
299	353	825
300	354	822
301	354	820
302	355	817
303	355	814
304	356	812
305	357	810
306	358	809
307	359	807
308	359	804
309	360	803
310	361	801
311	362	798
312	363	796
313	363	794
314	364	793
315	365	791
316	366	789
317	367	787
318	367	785
319	368	782
320	369	780
321	369	778
322	370	776
323	370	774
324	371	772
325	372	770
326	373	768
327	373	766
328	374	763
329	375	761
330	375	759
331	376	756
332	376	754
333	377	752
334	378	750
335	378	748
336	379	746
337	380	744
338	380	742
339	381	740
340	382	738
341	382	736
342	383	734
343	384	732
344	384	730
345	385	728
346	386	726
347	386	724
348	387	722
349	387	720
350	388	718
351	388	715
352	389	713
353	390	712
354	390	710
355	391	708
356	392	706
357	392	703
358	393	701
359	393	699
360	394	697
361	394	695
362	395	694
363	396	692
364	396	690
365	397	688
366	398	686
367	398	685
368	399	682
369	399	680
370	400	678
371	400	676
372	401	674
373	402	672
374	402	671
375	403	669
376	403	667
377	404	665
378	405	664
379	405	662
380	406	660
381	407	658
382	407	657
383	408	655
384	409	653
385	409	651
386	410	650
387	411	648
388	411	646
389	412	644
390	412	643
391	413	641
392	414	639
393	414	637
394	415	636
395	415	634
396	416	632
397	417	630
398	417	629
399	418	627
400	418	625
401	419	623
402	419	621
403	420	620
404	420	618
405	421	616
406	422	615
407	422	613
408	423	611
409	423	609
410	424	607
411	424	606
412	425	604
413	426	603
414	426	601
415	427	599
416	427	598
417	428	596
418	429	595
419	429	593
420	430	591
421	430	590
422	431	588
423	431	586
424	432	585
425	433	583
426	433	582
427	434	580
428	435	579
429	435	577
430	436	575
431	436	574
432	437	572
433	438	571
434	438	569
435	439	568
436	440	566
437	440	565
438	441	563
439	441	562
440	442	560
441	442	559
442	443	557
443	444	556
444	444	554
445	445	552
446	445	551
447	446	550
448	447	548
449	447	547
450	448	545
451	448	544
452	449	542
453	450	541
454	450	539
455	451	538
456	451	536
457	452	535
458	452	533
459	453	532
460	454	531
461	454	529
462	455	528
463	455	526
464	456	525
465	457	523
466	457	522
467	458	521
468	459	519
469	459	518
470	460	516
471	460	515
472	461	514
473	461	512
474	462	511
475	463	509
476	463	508
477	464	507
