iter	Passed	Remaining
0	135	135511
1	136	68128
2	137	45598
3	137	34318
4	138	27573
5	139	23075
6	139	19845
7	140	17435
8	141	15543
9	141	14035
10	142	12807
11	143	11783
12	143	10926
13	144	10173
14	145	9525
15	145	8957
16	146	8453
17	146	8019
18	147	7625
19	148	7268
20	148	6942
21	149	6651
22	150	6389
23	150	6139
24	151	5908
25	152	5700
26	152	5508
27	153	5328
28	154	5164
29	154	5007
30	155	4859
31	156	4722
32	156	4594
33	157	4472
34	157	4356
35	158	4247
36	159	4146
37	160	4051
38	160	3959
39	161	3875
40	162	3793
41	162	3714
42	163	3639
43	164	3567
44	164	3501
45	165	3435
46	166	3372
47	166	3311
48	167	3249
49	168	3193
50	168	3139
51	169	3085
52	170	3049
53	171	3002
54	172	2956
55	172	2910
56	173	2873
57	174	2832
58	174	2789
59	175	2750
60	176	2714
61	176	2677
62	177	2643
63	178	2608
64	179	2575
65	179	2542
66	180	2508
67	180	2477
68	181	2446
69	181	2417
70	182	2389
71	183	2363
72	183	2336
73	184	2310
74	185	2285
75	185	2260
76	186	2235
77	187	2211
78	187	2187
79	188	2164
80	189	2149
81	190	2131
82	190	2107
83	192	2093
84	192	2076
85	193	2057
86	194	2037
87	194	2020
88	195	2002
89	196	1984
90	196	1967
91	197	1950
92	198	1933
93	198	1916
94	199	1899
95	200	1883
96	200	1867
97	201	1854
98	202	1839
99	202	1824
100	203	1810
101	203	1795
102	204	1781
103	205	1767
104	205	1753
105	206	1740
106	207	1728
107	207	1716
108	208	1703
109	209	1691
110	209	1679
111	210	1666
112	210	1654
113	211	1643
114	211	1631
115	212	1619
116	212	1607
117	213	1597
118	214	1587
119	215	1577
120	215	1566
121	216	1556
122	216	1546
123	217	1536
124	218	1526
125	218	1517
126	219	1506
127	219	1498
128	220	1490
129	221	1481
130	222	1473
131	222	1464
132	223	1455
133	224	1447
134	224	1439
135	225	1431
136	226	1424
137	226	1417
138	227	1409
139	228	1401
140	228	1392
141	229	1383
142	229	1376
143	230	1368
144	230	1361
145	231	1354
146	232	1347
147	232	1340
148	233	1333
149	234	1327
150	234	1320
151	235	1314
152	236	1308
153	237	1302
154	237	1295
155	238	1289
156	238	1283
157	239	1277
158	240	1271
159	241	1265
160	241	1258
161	242	1252
162	242	1246
163	243	1240
164	244	1234
165	244	1229
166	245	1224
167	246	1218
